UI,Name,Count,DateRange,PriorYearCount,PriorYearDateRange
D000071740,ORAI1 Protein,50,2025/01/01-2025/12/31,61,2024/01/01-2024/12/31
D000071741,ORAI2 Protein,1,2025/01/01-2025/12/31,2,2024/01/01-2024/12/31
D000071756,Soluble Guanylyl Cyclase,61,2025/01/01-2025/12/31,43,2024/01/01-2024/12/31
D000071757,BTB-POZ Domain,0,2025/01/01-2025/12/31,5,2024/01/01-2024/12/31
D000071776,Kelch Repeat,1,2025/01/01-2025/12/31,1,2024/01/01-2024/12/31
D000071796,SMARCB1 Protein,67,2025/01/01-2025/12/31,70,2024/01/01-2024/12/31
D000071797,Butyrophilins,269,2025/01/01-2025/12/31,310,2024/01/01-2024/12/31
D000071799,Zinc Finger E-box-Binding Homeobox 1,99,2025/01/01-2025/12/31,100,2024/01/01-2024/12/31
D000071816,Glycodelin,2,2025/01/01-2025/12/31,7,2024/01/01-2024/12/31
D000071818,Wnt-5a Protein,85,2025/01/01-2025/12/31,62,2024/01/01-2024/12/31
D000071819,Virophages,2,2025/01/01-2025/12/31,7,2024/01/01-2024/12/31
D000071820,Emergency Medical Dispatch,41,2025/01/01-2025/12/31,28,2024/01/01-2024/12/31
D000071821,Dystonin,6,2025/01/01-2025/12/31,8,2024/01/01-2024/12/31
D000071822,Emergency Medical Dispatcher,16,2025/01/01-2025/12/31,16,2024/01/01-2024/12/31
D000071825,Extremophiles,41,2025/01/01-2025/12/31,60,2024/01/01-2024/12/31
D000071826,Distracted Driving,39,2025/01/01-2025/12/31,51,2024/01/01-2024/12/31
D000071836,Professional Practice Gaps,19,2025/01/01-2025/12/31,32,2024/01/01-2024/12/31
D000071837,Fibrillins,112,2025/01/01-2025/12/31,120,2024/01/01-2024/12/31
D000071838,Fibrillin-1,100,2025/01/01-2025/12/31,106,2024/01/01-2024/12/31
D000071840,Fibrillin-2,10,2025/01/01-2025/12/31,8,2024/01/01-2024/12/31
D000071841,PAX6 Transcription Factor,55,2025/01/01-2025/12/31,45,2024/01/01-2024/12/31
D000071856,Tudor Domain,3,2025/01/01-2025/12/31,12,2024/01/01-2024/12/31
D000071857,Tumor Suppressor p53-Binding Protein 1,53,2025/01/01-2025/12/31,51,2024/01/01-2024/12/31
D000071858,Epithelial Cell Adhesion Molecule,117,2025/01/01-2025/12/31,97,2024/01/01-2024/12/31
D000071876,Prostaglandin-E Synthases,26,2025/01/01-2025/12/31,23,2024/01/01-2024/12/31
D000071877,Checkpoint Kinase 1,81,2025/01/01-2025/12/31,77,2024/01/01-2024/12/31
D000071896,Medically Unexplained Symptoms,98,2025/01/01-2025/12/31,163,2024/01/01-2024/12/31
